dep;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
71;2023-07-10;448103;444097;357874;102332;58078;21501;546577.0;82.0;81.3;65.5;18.7;10.6;3.9
72;2023-07-10;465318;460801;367873;100648;57934;22522;564588.0;82.4;81.6;65.2;17.8;10.3;4.0
73;2023-07-10;349005;345474;259640;63767;40685;13873;442054.0;79.0;78.2;58.7;14.4;9.2;3.1
74;2023-07-10;613476;607483;438442;93781;57571;18320;850125.0;72.2;71.5;51.6;11.0;6.8;2.2
75;2023-07-10;1783988;1765829;1395363;362867;254917;97415;2139907.0;83.4;82.5;65.2;17.0;11.9;4.6
76;2023-07-10;1021030;1010970;809690;223167;135481;54717;1253596.0;81.4;80.6;64.6;17.8;10.8;4.4
77;2023-07-10;1083005;1070407;797595;175372;107821;40485;1443796.0;75.0;74.1;55.2;12.1;7.5;2.8
78;2023-07-10;1151957;1139767;873155;217571;144557;57765;1463709.0;78.7;77.9;59.7;14.9;9.9;3.9
79;2023-07-10;311536;308678;250587;68402;40238;14610;374426.0;83.2;82.4;66.9;18.3;10.7;3.9
80;2023-07-10;463777;459219;371588;97252;57559;22685;566328.0;81.9;81.1;65.6;17.2;10.2;4.0
81;2023-07-10;309772;306336;240868;63158;37654;12909;393046.0;78.8;77.9;61.3;16.1;9.6;3.3
82;2023-07-10;203400;200824;155086;38561;22501;8274;264216.0;77.0;76.0;58.7;14.6;8.5;3.1
83;2023-07-10;854967;843362;646138;171474;102217;39355;1095564.0;78.0;77.0;59.0;15.7;9.3;3.6
84;2023-07-10;431313;425448;319216;79678;48105;18144;562928.0;76.6;75.6;56.7;14.2;8.5;3.2
85;2023-07-10;596960;592073;478644;141502;85506;31491;699296.0;85.4;84.7;68.4;20.2;12.2;4.5
86;2023-07-10;350380;346960;281115;82987;50652;20453;440164.0;79.6;78.8;63.9;18.9;11.5;4.6
87;2023-07-10;303294;300384;244099;71941;43683;16970;369805.0;82.0;81.2;66.0;19.5;11.8;4.6
88;2023-07-10;291269;288529;229912;56747;31542;10452;358175.0;81.3;80.6;64.2;15.8;8.8;2.9
89;2023-07-10;264288;261331;206037;57588;33942;13762;330074.0;80.1;79.2;62.4;17.4;10.3;4.2
90;2023-07-10;105036;103951;80512;18454;10631;3731;137714.0;76.3;75.5;58.5;13.4;7.7;2.7
91;2023-07-10;989285;977245;723504;167386;107933;42377;1315404.0;75.2;74.3;55.0;12.7;8.2;3.2
92;2023-07-10;1280429;1267977;983190;230804;156424;58363;1643080.0;77.9;77.2;59.8;14.0;9.5;3.6
93;2023-07-10;1124376;1106264;743898;124239;71180;23223;1678367.0;67.0;65.9;44.3;7.4;4.2;1.4
94;2023-07-10;1053567;1041773;772383;173773;112540;42217;1434351.0;73.5;72.6;53.8;12.1;7.8;2.9
95;2023-07-10;924869;912616;652039;132847;79493;29791;1276534.0;72.5;71.5;51.1;10.4;6.2;2.3
971;2023-07-10;152189;146147;89052;8933;4103;1021;372939.0;40.8;39.2;23.9;2.4;1.1;0.3
972;2023-07-10;150824;145560;92934;9048;3581;1055;350373.0;43.0;41.5;26.5;2.6;1.0;0.3
973;2023-07-10;100359;90493;46361;3569;1604;313;294436.0;34.1;30.7;15.7;1.2;0.5;0.1
974;2023-07-10;580670;568420;371833;31462;10270;3430;868846.0;66.8;65.4;42.8;3.6;1.2;0.4
976;2023-07-10;162398;139831;51569;2044;1941;89;299348.0;54.3;46.7;17.2;0.7;0.6;0.0
977;2023-07-10;9018;8745;6039;458;138;49;10124.0;89.1;86.4;59.7;4.5;1.4;0.5
978;2023-07-10;14857;14004;6940;743;366;108;34065.0;43.6;41.1;20.4;2.2;1.1;0.3
